NPs,Coating,Core_size,Shape,Dose,Type(Gram( +/-),Class,Family,Species,Duration,ZOI
TiO2,uncoated,18.0,irregular,200.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,6.0
TiO2,uncoated,18.0,irregular,200.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,8.0
TiO2,uncoated,18.0,irregular,200.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,16.0
TiO2,uncoated,18.0,irregular,400.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,7.0
TiO2,uncoated,18.0,irregular,400.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,10.0
TiO2,uncoated,18.0,irregular,400.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,16.0
TiO2,uncoated,18.0,irregular,600.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,8.0
TiO2,uncoated,18.0,irregular,600.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,11.0
TiO2,uncoated,18.0,irregular,600.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,18.0
TiO2,uncoated,18.0,irregular,800.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,9.0
TiO2,uncoated,18.0,irregular,800.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,12.0
TiO2,uncoated,18.0,irregular,800.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,18.0
TiO2,uncoated,18.0,irregular,1000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,10.0
TiO2,uncoated,18.0,irregular,1000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,12.0
TiO2,uncoated,18.0,irregular,1000.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,19.0
TiO2,uncoated,18.0,irregular,1200.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,10.5
TiO2,uncoated,18.0,irregular,1200.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,13.0
TiO2,uncoated,18.0,irregular,1200.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,19.0
TiO2,uncoated,18.0,irregular,1400.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,11.0
TiO2,uncoated,18.0,irregular,1400.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,14.0
TiO2,uncoated,18.0,irregular,1400.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,20.0
ZnO,uncoated,17.2,spherical,40000.0,p,Bacilli,Lactobacillaceae,Lactobacillus reuteri,24.0,17.0
ZnO,uncoated,17.2,spherical,20000.0,p,Bacilli,Lactobacillaceae,Lactobacillus reuteri,24.0,15.0
ZnO,uncoated,17.2,spherical,10000.0,p,Bacilli,Lactobacillaceae,Lactobacillus reuteri,24.0,14.0
ZnO,uncoated,17.2,spherical,5000.0,p,Bacilli,Lactobacillaceae,Lactobacillus reuteri,24.0,13.0
ZnO,uncoated,17.2,spherical,2500.0,p,Bacilli,Lactobacillaceae,Lactobacillus reuteri,24.0,14.0
ZnO,coated,15.0,spherical,10000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,8.0
